City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Coihaique,CL,-45.5752,-72.0662,42.75,52,75,8.05,broken clouds
251,Nara,JP,34.6851,135.8049,85.96,50,73,3.02,broken clouds
252,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.22,87,10,6.55,clear sky
253,Onguday,RU,50.75,86.15,43.57,96,61,1.41,broken clouds
254,Khani,GE,41.9563,42.9566,76.57,53,8,6.69,clear sky
255,San Jose,US,37.3394,-121.895,95.58,45,20,12.66,smoke
256,Chernyshevsk,RU,52.5243,117.0174,55.13,69,54,4.34,broken clouds
257,Chokurdakh,RU,70.6333,147.9167,42.1,83,100,12.03,overcast clouds
258,Besikduzu,TR,41.052,39.2284,78.69,72,15,4.47,few clouds
259,Saint George,US,37.1041,-113.5841,104.63,16,0,11.01,clear sky
260,Taicheng,CN,38.731,113.228,56.05,95,100,2.53,overcast clouds
261,Gat,IL,31.61,34.7642,77.68,100,0,0.83,clear sky
262,Clyde River,CA,70.4692,-68.5914,35.83,100,100,26.46,light rain
263,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,61.57,98,100,1.81,overcast clouds
264,Lorengau,PG,-2.0226,147.2712,84.81,63,61,7.38,broken clouds
265,Marsh Harbour,BS,26.5412,-77.0636,83.88,73,12,8.9,few clouds
266,Praia,CV,14.9215,-23.5087,81.14,78,40,6.91,scattered clouds
267,Seda,LV,57.65,25.75,61.05,71,15,4.38,few clouds
268,Hoquiam,US,46.9809,-123.8893,81.84,79,0,11.5,clear sky
269,Pacific Grove,US,36.6177,-121.9166,77.54,86,40,13.8,scattered clouds
270,Kronshagen,DE,54.3433,10.0994,66.22,72,20,2.3,few clouds
271,Tallahassee,US,30.4383,-84.2807,77.32,95,75,0.0,broken clouds
272,Moree,AU,-29.4667,149.85,50.76,57,2,16.53,clear sky
273,Port Elizabeth,ZA,-33.918,25.5701,52.09,93,0,3.44,clear sky
